price,condition,grade,sqft_above,sqft_basement,sqft_living15
221900,3,7,1180,0,1340
538000,3,7,2170,400,1690
180000,3,6,770,0,2720
604000,5,7,1050,910,1360
510000,3,8,1680,0,1800
1.23E+06,3,11,3890,1530,4760
257500,3,7,1715,0,2238
291850,3,7,1060,0,1650
229500,3,7,1050,730,1780
323000,3,7,1890,0,2390
662500,3,8,1860,1700,2210
468000,4,7,860,300,1330
310000,4,7,1430,0,1780
400000,4,7,1370,0,1370
530000,3,7,1810,0,1360
650000,3,9,1980,970,2140
395000,3,7,1890,0,1890
485000,4,7,1600,0,1610
189000,4,7,1200,0,1060
230000,4,7,1250,0,1280
385000,4,7,860,760,1400
2.00E+06,3,9,2330,720,4110
285000,3,8,2270,0,2240
252700,3,7,1070,0,1220
329000,4,8,2450,0,2200
233000,5,6,1710,0,1030
937000,3,8,1750,700,1760
667000,5,8,1400,0,1860
438000,3,7,790,730,1520
719000,3,8,2570,0,2630
580500,3,8,2320,0,2580
280000,3,7,1190,0,1390
687500,4,7,1510,820,1460
535000,4,8,1090,0,1570
322500,3,7,1280,780,2020
696000,3,8,1510,790,1590
550000,1,5,930,730,2160
640000,4,8,2360,0,1730
240000,2,7,890,330,1290
605000,3,8,2620,0,2620
625000,3,9,2570,0,2470
775000,3,8,2600,1620,2410
861990,3,9,3595,0,3625
685000,3,7,1570,0,1580
309000,4,6,920,360,1340
488000,3,8,3160,0,3050
210490,3,6,990,0,1228
785000,4,9,2290,0,2680
450000,4,7,1250,0,970
1.35E+06,5,9,2165,588,2680
228000,3,7,1190,0,1190
345000,4,8,1640,1510,1990
600000,4,7,1000,410,1410
585000,3,7,990,990,1480
920000,3,8,2130,600,2730
885000,3,9,2830,0,1950
292500,3,7,2250,0,2250
301000,3,8,2420,0,2690
951000,4,8,3250,0,2960
430000,3,8,1850,0,2270
650000,4,8,1590,560,2570
289000,3,7,1260,0,1290
505000,5,8,2519,0,2500
549000,3,8,1540,0,1580
425000,3,7,1110,550,1440
317625,5,7,1770,1000,1440
975000,3,10,2720,0,2750
287000,3,7,2240,0,2221
204000,4,7,1000,0,1010
1.33E+06,3,8,1600,1600,3390
1.04E+06,4,11,3070,1700,3530
325000,4,7,1260,0,1640
571000,5,7,2250,500,1510
360000,3,8,2380,0,2420
349000,5,7,1090,700,1940
832500,4,10,2390,1040,3240
